feature,train_mean,test_mean,standardized_mean_shift,train_min,train_max,test_out_of_range_rate,horizon
price_to_sma_120,0.025111802200953243,0.028310870825406738,0.020614210263099213,-0.4458869485578576,0.709811509176594,0.0,20
ema_spread,0.0019354893619621786,0.0033975936363003986,0.06026917863495509,-0.09639451199262983,0.09396246711754519,0.0,20
macd,1.1690352715525751,5.317749678390054,0.2983703875272546,-60.80509072621783,81.61212444555883,0.0,20
macd_signal,1.1634259354990981,5.049740374605114,0.2906128194440633,-55.45375860231802,71.83662994311754,0.0,20
macd_hist,0.005609336053477036,0.2680093037849409,0.07663928756426563,-17.10248620078138,16.727294286994365,0.014380530973451327,20
macd_hist_slope,-0.00022802125073783752,-0.0005777671907711254,0.0005791408405417036,-3.3418917009658458,3.458593943251013,0.011061946902654867,20
rsi,52.12144443130875,56.40977521160326,0.20323559698878246,0.0,99.78386167146974,0.0,20
adx,38.65659216882799,37.085625436007234,0.09443314633777476,8.17625340047386,99.36950389912063,0.00331858407079646,20
atr_normalized,0.01446073716832832,0.01480476760673583,0.043073302838335444,0.0018747656542932266,0.04552134755247388,0.0,20
trend_strength,0.3535223223685318,0.552964203029619,0.12062285843279091,-3.721447413045164,7.802576166299845,0.0,20
up_day_ratio_20,0.507769304099142,0.5644358407079646,0.365369765306618,0.0,0.9,0.0,20
up_day_ratio_60,0.5068199872894821,0.5620575221238938,0.5346585789716403,0.16666666666666666,0.7666666666666667,0.0,20
distance_to_52w_high,-0.1746143823713347,-0.08876480117400663,0.4815492060799375,-0.7114076688357045,0.0,0.0,20
distance_to_52w_low,0.39305242451729544,0.2717553889437316,0.2836441967320089,0.0,2.3921121251629724,0.0,20
return_sign_persistence,0.026263107721639662,0.1288716814159292,0.3378352180776737,-1.0,0.8,0.0,20
trend_consistency,0.03190795947424462,0.11342734870568902,0.20321858952568375,-7.863016870468832,1.2316971362408484,0.0,20
downside_vol_20,0.1080930889937015,0.10762037621102476,0.007184016142844388,0.011458192062299895,0.32618521625363717,0.02101769911504425,20
downside_vol_60,0.11716737802831602,0.1204580117278521,0.05875337530329354,0.025921327420237457,0.28096140753554116,0.0,20
upside_semivariance,9.96886296978132e-05,6.569034856914496e-05,0.3376781368649337,1.2525762837189115e-06,0.0005925398547088279,0.0,20
downside_semivariance,9.731259460998873e-05,8.567612351466101e-05,0.1145418766603438,3.6870382222420955e-06,0.0006134057963077718,0.0,20
rolling_skewness,-0.06061201441037903,-0.6662691144784054,0.9651032250727822,-2.4902533817032086,2.6800704221473266,0.018805309734513276,20
rolling_kurtosis,1.1998253080804946,3.00375313579704,0.8718335266574915,-1.496235096400596,17.059650110862734,0.00331858407079646,20
parkinson_volatility,0.11532022116785684,0.14671854160666628,0.4958877717669248,0.0,0.29617664084963047,0.022123893805309734,20
range_volatility,0.010691848971488869,0.013907105546223654,0.5257528675622666,0.0,0.02732647421526475,0.02765486725663717,20
volatility_of_volatility,0.05142985020469461,0.05389197834404334,0.08552338030109008,0.00590365111922638,0.17068498751567235,0.05420353982300885,20
rolling_max_drawdown_20,-0.07690188693108659,-0.06095627859031273,0.26995613519760286,-0.3212698634280263,-0.0023633512544801727,0.0011061946902654867,20
rolling_max_drawdown_60,-0.1541885845550242,-0.11638203861479007,0.36059447080321744,-0.5274956217162872,-0.013840878679750257,0.0,20
rolling_max_drawdown_120,-0.23691394498067095,-0.16381970847534566,0.4569081964325698,-0.68353765323993,-0.03247507964940588,0.0,20
drawdown_duration,1054.5529075309819,415.39159292035396,0.796178077403351,0.0,2744.0,0.0,20
recovery_ratio,0.86896821768243,0.7749871482905786,0.03978459605683252,-1.0466300203400414,28.282628513701255,0.0,20
volume_zscore,0.07502868295079075,0.06746506981315098,0.006505673063339384,-2.539604866181771,6.541933350313336,0.0,20
volume_ratio_5,1.004990948803171,1.0021399025596491,0.007747523698516916,0.001520250788957737,4.001445455318425,0.0,20
volume_ratio_20,1.023850564793923,1.0085473357185186,0.030144809563424014,0.0013964832698896538,6.768041740489111,0.0,20
volume_trend,0.014838114120742135,0.0043771030294089495,0.041522048320290494,-0.8073578359290603,1.7347174059896422,0.0,20
price_volume_divergence,-0.5405982014662082,-0.07390975374079846,0.039584129667303486,-755.5340005076326,1.129676313721478,0.0,20
signed_volume_proxy,0.6380325652496119,2.5181466938745216,0.11362611624494309,-19.713865728472967,19.91569612216481,0.9480088495575221,20
high_volume_up_day_ratio,0.16660708611375913,0.15995575221238936,0.05615338378117095,0.0,0.55,0.0,20
high_volume_down_day_ratio,0.13050127105179535,0.1484144542772861,0.27075919387182984,0.0,0.3333333333333333,0.0,20
volume_volatility,0.45104428954447684,0.26146545696862633,0.48614931083378204,0.08552091774194397,2.364571257143628,0.0,20
volume_confirmation_score,0.05228514268907803,0.05149444545135562,0.003206060220510651,-1.7347174059896422,1.1541167801442667,0.0,20
