feature,train_mean,test_mean,mean_shift,ks_stat,outside_train_range_rate
log_return_2,0.0009886622042093716,0.00044856535816561045,-0.0005400968460437612,0.08186518559891119,0.0
rolling_return_2,0.0009886622042093187,0.0004485653581655546,-0.000540096846043764,0.08186518559891119,0.0
ret_1,0.0004970110612246485,0.00022423185261033615,-0.00027277920861431236,0.08021366986377002,0.0
distance_from_low_2,0.0056568162641341705,0.004349570686019876,-0.0013072455781142946,0.08021366986377002,0.0
signed_streak,0.27416124186279417,0.4791666666666667,0.20500542480387252,0.07268876070516031,0.0
drawdown_from_high_2,-0.005159805202909522,-0.00412533883340954,0.0010344663694999813,0.06140821809637533,0.0
ma_cross_5,0.5020030045067602,0.47596153846153844,-0.02604146604522173,0.02604146604522168,0.0
ma_cross_10,0.5055082623935904,0.48157051282051283,-0.023937749573077538,0.023937749573077566,0.0
ma_cross_50,0.5082623935903856,0.5296474358974359,0.021385042307050295,0.02138504230705032,0.0
ma_cross_20,0.5072608913370055,0.5,-0.007260891337005471,0.007260891337005508,0.0
