step,q025,q050,q100,q250,q500,q750,q900,q950,q975
26,1348.2861587627242,1556.1538647675359,1699.1574592918369,1838.0293627189005,1916.637236424279,2001.236573263954,2097.0278860540016,2229.359516315567,2597.7964771428797
27,1285.4511763580224,1544.8146120756428,1695.9630432993042,1835.93179747438,1914.0630914390185,2002.0091741357983,2115.11418477775,2279.6075391321656,2650.074648169294
28,1260.6976973555531,1555.562852966178,1691.7411518515378,1834.257408383488,1915.576741762535,2007.7953177167626,2131.6982551992483,2315.9039640229025,2707.2035686490544
29,1270.081897632903,1515.9983858276291,1691.0756502230606,1837.5040452260332,1920.7613530809272,2018.2621182881949,2149.8956147676026,2387.935834466313,2946.24771122942
30,1218.7468029856966,1563.9866007877538,1699.1120006315343,1838.4271183926642,1923.004589875903,2015.843108325949,2158.5000286642044,2413.2486459996585,2982.860266282297
31,1262.1895954035783,1520.7162645917815,1684.2601590538245,1840.7234255267472,1921.7225793031905,2019.3467439856763,2161.1448737406686,2424.853787045862,3136.436104263502
32,1246.7902203038986,1496.5003287166726,1672.1033075379564,1837.6137999821963,1921.43036844583,2024.3446986225879,2184.8803947931488,2537.8954834427645,3165.4805420108833
33,1136.7362524016382,1484.3136000303557,1673.8590687343894,1833.246344607936,1927.6404095782746,2037.1432845955896,2194.4936481152604,2604.753697284187,3228.4752663851436
34,1075.8915896429282,1388.990924691652,1661.704021917872,1832.5053451540432,1928.2689038237788,2041.673911709784,2248.50775011162,2703.538361653745,3402.2057046964997
35,1047.5786780672686,1353.1877669717794,1630.3302060402536,1835.2498994549137,1930.2340223373765,2044.4900402523665,2266.9635928158045,2706.6143965480846,3498.7371906476174
36,1008.7617529928398,1279.659534863996,1632.6442197796025,1833.128448561868,1929.0424980884097,2045.2663992827843,2282.144324631075,2703.9387140942263,3513.8217206609143
37,994.0974143315696,1322.0381918935752,1639.4490903257645,1832.041419999954,1932.0642596458474,2045.8624233393186,2275.228282776942,2792.21673984753,3421.525730276706
38,999.0243479042094,1282.3252948802085,1602.744697039577,1822.9377748887532,1928.9335108600499,2052.359799468606,2304.8553383946037,2859.0787763673147,3636.118528624905
