date,egarch_sigma,egarch_log_variance,egarch_standardized_residual,egarch_negative_shock,egarch_volatility_percentile,egarch_volatility_change,egarch_tail_risk_score
2021-09-08,0.009581375562722894,-0.08552784879166837,-0.6519255399918509,-0.6519255399918509,0.38095238095238093,-0.08781587778683064,0.01582771900031574
2021-09-09,0.00943571505279241,-0.11616625957168923,0.8156706543922315,0.0,0.3611111111111111,-0.015202463255608922,0.00943571505279241
2021-09-10,0.00952306349091019,-0.09773700138417478,0.09867985145543902,0.0,0.373015873015873,0.009257214490800969,0.00952306349091019
2021-09-13,0.0082795465549603,-0.37759377998031524,-0.3548062518789646,-0.3548062518789646,0.2261904761904762,-0.13057950701860088,0.011217181435383158
2021-09-14,0.007670331030589953,-0.5304506388160299,-0.17468282142217847,-0.17468282142217847,0.17063492063492064,-0.07358078372122501,0.009010206096255493
2021-09-15,0.006844607373694162,-0.7582479909518856,0.6597661941156316,0.0,0.0873015873015873,-0.10765163245272369,0.006844607373694162
2021-09-16,0.006763630234005981,-0.7820506604326748,-0.0029057243820098475,-0.0029057243820098475,0.07539682539682539,-0.011830793976496112,0.006783283479287831
2021-09-17,0.005834451627790428,-1.0776096229700574,0.8515316232276194,0.0,0.031746031746031744,-0.13737868187173452,0.005834451627790428
2021-09-20,0.006033183336792604,-1.0106206100090316,-0.2730776992464017,-0.2730776992464017,0.04365079365079365,0.034061763072228635,0.007680711161535657
2021-09-21,0.0055495428585469134,-1.1777390729150068,-1.4342181697989587,-1.4342181697989587,0.015873015873015872,-0.08016339820079244,0.013508798060352947
2021-09-22,0.006631858227122491,-0.8214001049641048,1.2075938561335795,0.0,0.06746031746031746,0.19502784214175262,0.006631858227122491
2021-09-23,0.007350718023302612,-0.6155741885908569,0.20262051682784146,0.0,0.13095238095238096,0.10839492817264706,0.007350718023302612
2021-09-24,0.006589727372147679,-0.834146230534912,-0.18596221880708463,-0.18596221880708463,0.06349206349206349,-0.10352602953106149,0.007815167695606041
2021-09-27,0.0059265694878436505,-1.046279097175203,-3.3097301597639626,-3.3097301597639626,0.03571428571428571,-0.10063510170495815,0.02554191526569664
2021-09-28,0.010733167228764898,0.14150719037509824,0.9969349459184337,0.0,0.5119047619047619,0.8110252905631756,0.010733167228764898
2021-09-29,0.011197210253651311,0.22615913956977837,-0.01107796825906207,-0.01107796825906207,0.5357142857142857,0.04323449127325407,0.011321252593431304
2021-09-30,0.009507217169856242,-0.101067761449965,0.21841142289254745,0.0,0.3611111111111111,-0.15092983390608183,0.009507217169856242
2021-10-01,0.008474256456743136,-0.331104354587967,-0.6379591829001211,-0.6379591829001211,0.24603174603174602,-0.10865016488612778,0.013880486181573063
2021-10-04,0.008355343378358708,-0.3593676664887751,0.4102770642811925,0.0,0.2222222222222222,-0.014032272800737045,0.008355343378358708
2021-10-05,0.007785245276913325,-0.5007095637143012,1.4325442848678493,0.0,0.17063492063492064,-0.06823155861218133,0.007785245276913325
2021-10-06,0.008990951444671453,-0.2127328328858691,0.6649300521138177,0.0,0.30158730158730157,0.15487067200484694,0.008990951444671453
2021-10-07,0.008809549258678865,-0.2534976336406203,0.25812715345947035,0.0,0.2976190476190476,-0.020176083377704934,0.008809549258678865
2021-10-08,0.007938551065763768,-0.4617086396153437,0.6137950134853464,0.0,0.17063492063492064,-0.09886977952442,0.007938551065763768
2021-10-11,0.007729890134185716,-0.5149808868166095,1.9911072968009256,0.0,0.14682539682539683,-0.026284510844546305,0.007729890134185716
2021-10-12,0.010026880908928502,0.005368968876131527,0.0458556274363526,0.0,0.4365079365079365,0.2971569756967518,0.010026880908928502
2021-10-13,0.008606961128862787,-0.3000275671211726,-0.24671953055657642,-0.24671953055657642,0.25,-0.14161131392328985,0.010730466538094514
2021-10-14,0.007773290218481751,-0.5037831334054782,-0.011897330637273185,-0.011897330637273185,0.14682539682539683,-0.0968600761522419,0.00786577162235051
2021-10-15,0.006686196768446767,-0.8050797510178881,0.08392474402567253,0.0,0.047619047619047616,-0.13984984729507643,0.006686196768446767
2021-10-18,0.005867572383309222,-1.0662882160306817,0.3375481354993219,0.0,0.023809523809523808,-0.12243498261983032,0.005867572383309222
2021-10-19,0.005452387671088973,-1.213062950943615,-0.035342174459517844,-0.035342174459517844,0.015873015873015872,-0.07075919734731773,0.005645086907381524
2021-10-20,0.004773365080112772,-1.479067138580317,-0.24018499220996153,-0.24018499220996153,0.007936507936507936,-0.12453674095418521,0.00591985573469496
2021-10-21,0.004394546096002054,-1.6444416891010978,-1.4902889289644976,-1.4902889289644976,0.003968253968253968,-0.0793609911986386,0.010943689490698068
2021-10-22,0.005361286038781229,-1.2467624281642438,0.5919102047638822,0.0,0.015873015873015872,0.21998630157928445,0.005361286038781229
2021-10-25,0.00526864337658702,-1.2816243747549947,-0.5347301867314527,-0.5347301867314527,0.011904761904761904,-0.017279932748238358,0.008085946033170829
2021-10-26,0.005161762728864241,-1.3226139154328316,0.8596755351792533,0.0,0.011904761904761904,-0.020286179967643925,0.005161762728864241
2021-10-27,0.005369600164688702,-1.2436632889455579,4.144866827777404,0.0,0.023809523809523808,0.0402648178038576,0.005369600164688702
2021-10-28,0.011031206445999213,0.19628622578739707,0.9454510135839518,0.0,0.5198412698412699,1.0543813519937824,0.011031206445999213
2021-10-29,0.011374895543360262,0.2576473775990175,0.37753454244393664,0.0,0.5634920634920635,0.03115607518030794,0.011374895543360262
2021-11-01,0.010413851002760986,0.08110330849334142,-0.3577733119946104,-0.3577733119946104,0.46825396825396826,-0.08448820799591927,0.01413964896663718
2021-11-02,0.009576738421122196,-0.0864960321306269,0.9691939065123455,0.0,0.36904761904761907,-0.0803845360776575,0.009576738421122196
2021-11-03,0.009973162909755747,-0.0053746332548784085,-0.5698563037916028,-0.5698563037916028,0.42857142857142855,0.04139451984604792,0.01565643266262066
2021-11-04,0.009629996409262624,-0.07540448010801169,0.28493506638509475,0.0,0.38095238095238093,-0.034408993776431585,0.009629996409262624
2021-11-05,0.008699129406731641,-0.2787242810648569,0.6409510236204091,0.0,0.27380952380952384,-0.09666327618104065,0.008699129406731641
