horizon,n_obs,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,brier,log_loss,ece,recall_bull,recall_sideway,recall_bear,recall_stress,configuration
40,1252,0.4097444089456869,0.30267466555681843,0.3025754812922544,0.30267466555681843,0.29645059112030403,0.395041714041462,0.12749370642367477,0.7265494780692138,1.3404388652448054,0.07392170886160399,0.3842887473460722,0.6420824295010846,0.042105263157894736,0.14222222222222222,technical + HMM
40,1252,0.4169329073482428,0.3000693008756053,0.29265849561661184,0.3000693008756053,0.2902969992409698,0.3960032253324856,0.1283244201591254,0.7202745894924846,1.3295318529787346,0.0857349478907929,0.3991507430997877,0.6572668112798264,0.010526315789473684,0.13333333333333333,technical + EGARCH
40,1252,0.4073482428115016,0.30576059710739745,0.3062877178558616,0.30576059710739745,0.30056598432772896,0.3943346098209853,0.123704583215083,0.7256975444439167,1.338245552995261,0.07046452842731855,0.39065817409766457,0.6225596529284165,0.06315789473684211,0.14666666666666667,technical + HMM + EGARCH
40,1252,0.4073482428115016,0.30576059710739745,0.3062877178558616,0.30576059710739745,0.30056598432772896,0.3943346098209853,0.123704583215083,0.7260568280586515,1.3388004411588055,0.09495927052005294,0.39065817409766457,0.6225596529284165,0.06315789473684211,0.14666666666666667,technical + HMM + EGARCH + calibration
40,1252,0.4073482428115016,0.30576059710739745,0.3062877178558616,0.30576059710739745,0.30056598432772896,0.3943346098209853,0.123704583215083,0.7260568280586515,1.3388004411588055,0.09495927052005294,0.39065817409766457,0.6225596529284165,0.06315789473684211,0.14666666666666667,full RAEMF-MC + Monte Carlo
40,1252,0.37859424920127793,0.30934208768948357,0.3039348759796296,0.30934208768948357,0.3057192869765659,0.377913547545573,0.09745537966799855,0.7347713674047384,1.3484784896490918,0.06539143520548665,0.46496815286624205,0.37310195227765725,0.05263157894736842,0.3466666666666667,XGBoost technical only
40,1252,0.3769968051118211,0.29112972223817996,0.28799005986089077,0.29112972223817996,0.28500851047084713,0.3706714343720634,0.09151640105776353,0.7264287478244048,1.3424120211768078,0.05570367858362524,0.37579617834394907,0.561822125813449,0.11578947368421053,0.1111111111111111,Random Forest technical only
40,1252,0.3761980830670926,0.25,0.09404952076677316,0.25,0.136680208937899,0.20567533038258923,0.0,0.7172436880029002,1.3280093131098754,0.09404534800602127,1.0,0.0,0.0,0.0,MACD probabilistic
60,1248,0.3870192307692308,0.2815514908862548,0.2906687133602782,0.2815514908862548,0.2782431812176338,0.36978591638598546,0.0577362827113271,0.7268892334589805,1.3371265020765464,0.06896829834992489,0.34763948497854075,0.5738045738045738,0.014285714285714285,0.19047619047619047,technical features only
60,1248,0.39663461538461536,0.2890188321518794,0.3108481262327416,0.2890188321518794,0.28535738636038704,0.3755504256123493,0.0710360770721324,0.72849603081183,1.339031968858684,0.0839484786106768,0.33047210300429186,0.6195426195426196,0.02857142857142857,0.1774891774891775,technical + HMM
