feature,value,class,probability
log_volume,17.28776709105969,Stress,0.20253949704444194
log_volume,17.587660542531292,Bull,0.1767659570179062
log_volume,17.587660542531292,Sideway,0.3305280774567725
log_volume,17.587660542531292,Bear,0.29025184341429056
log_volume,17.587660542531292,Stress,0.20245412211103087
log_volume,17.89167678940691,Bull,0.1770765733763127
log_volume,17.89167678940691,Sideway,0.33096304651432723
log_volume,17.89167678940691,Bear,0.2895859469243601
log_volume,17.89167678940691,Stress,0.20237443318499992
log_volume,18.202894625794098,Bull,0.1783274392378416
log_volume,18.202894625794098,Sideway,0.3329797062038708
log_volume,18.202894625794098,Bear,0.2865213096811309
log_volume,18.202894625794098,Stress,0.20217154487715677
log_volume,18.425512022801826,Bull,0.17869899604608913
log_volume,18.425512022801826,Sideway,0.3341581903763384
log_volume,18.425512022801826,Bear,0.2850837920415558
log_volume,18.425512022801826,Stress,0.20205902153601651
log_volume,18.571177310487386,Bull,0.1795731925527036
log_volume,18.571177310487386,Sideway,0.3370394967766922
log_volume,18.571177310487386,Bear,0.28169668169691126
log_volume,18.571177310487386,Stress,0.20169062897369283
log_volume,18.710802859540077,Bull,0.17968797805724698
log_volume,18.710802859540077,Sideway,0.3373327558960001
log_volume,18.710802859540077,Bear,0.28127405259125005
log_volume,18.710802859540077,Stress,0.20170521345550282
log_volume,18.874935581565,Bull,0.1811813118902792
log_volume,18.874935581565,Sideway,0.34050633302480976
log_volume,18.874935581565,Bear,0.2756428379520689
log_volume,18.874935581565,Stress,0.20266951713284226
log_volume,19.076576865276373,Bull,0.1816303834673307
log_volume,19.076576865276373,Sideway,0.34163794118358815
log_volume,19.076576865276373,Bear,0.2739419623182584
log_volume,19.076576865276373,Stress,0.20278971303082274
log_volume,19.59330235101109,Bull,0.1833322411921366
log_volume,19.59330235101109,Sideway,0.3442295640473053
log_volume,19.59330235101109,Bear,0.2690779943092471
log_volume,19.59330235101109,Stress,0.20336020045131095
log_volume,20.041034230544273,Bull,0.18336919687988493
log_volume,20.041034230544273,Sideway,0.345657331198727
log_volume,20.041034230544273,Bear,0.26761316697022314
log_volume,20.041034230544273,Stress,0.20336030495116494
log_volume,20.235735064418773,Bull,0.18350905906499418
log_volume,20.235735064418773,Sideway,0.349362570950129
log_volume,20.235735064418773,Bear,0.26321734205754765
log_volume,20.235735064418773,Stress,0.20391102792732918
log_volume,20.400914970301766,Bull,0.18334263420512445
log_volume,20.400914970301766,Sideway,0.350619911873755
log_volume,20.400914970301766,Bear,0.2613407766632877
log_volume,20.400914970301766,Stress,0.20469667725783283
log_volume,20.582190639163283,Bull,0.18049413935735484
log_volume,20.582190639163283,Sideway,0.3555043861302349
log_volume,20.582190639163283,Bear,0.2584307787787498
log_volume,20.582190639163283,Stress,0.20557069573366055
ma_cross_200,0.0,Bull,0.18688580725550485
ma_cross_200,0.0,Sideway,0.31006095275849394
ma_cross_200,0.0,Bear,0.3032034640904979
ma_cross_200,0.0,Stress,0.19984977589550335
ma_cross_200,1.0,Bull,0.1783274392378416
ma_cross_200,1.0,Sideway,0.3329797062038708
ma_cross_200,1.0,Bear,0.2865213096811309
ma_cross_200,1.0,Stress,0.20217154487715677
