horizon,scenario_mode,fold,seed,n_origins,mae,rmse,directional_accuracy,nlpd,crps,pit_mean,pit_variance,realized_es95,forecast_es95,realized_es99,forecast_es99,drawdown_90_coverage,drawdown_95_coverage,time_under_water_mae,wis,brier_negative_return,realized_negative_rate,brier_drawdown_5pct,realized_drawdown_5pct_rate,forecast_drawdown_5pct_rate,brier_drawdown_10pct,realized_drawdown_10pct_rate,forecast_drawdown_10pct_rate,brier_drawdown_15pct,realized_drawdown_15pct_rate,forecast_drawdown_15pct_rate,coverage_50,width_50,interval_score_50,coverage_80,width_80,interval_score_80,coverage_90,width_90,interval_score_90,coverage_95,width_95,interval_score_95,kupiec_95_observations,kupiec_95_exceedances,kupiec_95_expected_rate,kupiec_95_observed_rate,kupiec_95_lr_uc,kupiec_95_p_value_uc,christoffersen_95_observations,christoffersen_95_exceedances,christoffersen_95_expected_rate,christoffersen_95_observed_rate,christoffersen_95_lr_uc,christoffersen_95_p_value_uc,christoffersen_95_n00,christoffersen_95_n01,christoffersen_95_n10,christoffersen_95_n11,christoffersen_95_lr_independence,christoffersen_95_p_value_independence,christoffersen_95_lr_conditional_coverage,christoffersen_95_p_value_conditional_coverage,kupiec_99_observations,kupiec_99_exceedances,kupiec_99_expected_rate,kupiec_99_observed_rate,kupiec_99_lr_uc,kupiec_99_p_value_uc,christoffersen_99_observations,christoffersen_99_exceedances,christoffersen_99_expected_rate,christoffersen_99_observed_rate,christoffersen_99_lr_uc,christoffersen_99_p_value_uc,christoffersen_99_n00,christoffersen_99_n01,christoffersen_99_n10,christoffersen_99_n11,christoffersen_99_lr_independence,christoffersen_99_p_value_independence,christoffersen_99_lr_conditional_coverage,christoffersen_99_p_value_conditional_coverage
40,point_estimate,0,11,626.0,0.08295167955678076,0.11042626677276304,0.512779552715655,-0.245974685846979,0.08101570564149721,0.564230936992733,0.03862645986209124,,1.2187113486943544,,1.7979793973183344,0.829073482428115,0.8961661341853036,6.327665616847632,0.07955525510124588,0.2528797640002967,0.365814696485623,0.39554071469062574,0.46006389776357826,0.7642790015015579,0.32715416745388537,0.2012779552715655,0.5670196193507142,0.24775258926735969,0.06869009584664537,0.46591525556323116,0.7364217252396166,0.2687834622224538,0.3384475575146167,0.9584664536741214,0.9780217513158764,1.001622657126632,0.9856230031948882,1.6084491854041998,1.6205240141078978,0.9984025559105432,2.243377499713682,2.2441560119634114,626.0,0.0,0.05,0.0,64.21920457321332,1.1131837056252888e-15,626.0,0.0,0.05,0.0,64.21920457321332,1.1131837056252888e-15,625.0,0.0,0.0,0.0,0.0,1.0,64.21920457321332,1.1349504746479995e-14,626.0,0.0,0.01,0.0,12.583020488583816,0.00038926710832994516,626.0,0.0,0.01,0.0,12.583020488583816,0.00038926710832994516,625.0,0.0,0.0,0.0,0.0,1.0,12.583020488583816,0.0018519609203718004
40,point_estimate,0,42,626.0,0.08289484489426349,0.10968804213197975,0.4904153354632588,-0.24716448953861433,0.08063751319727352,0.5654161250799562,0.03814687371975602,,1.2231827984530304,,1.8116504423580115,0.829073482428115,0.902555910543131,6.2934612685336155,0.07937176264925186,0.25420005802529744,0.365814696485623,0.39145190622972376,0.46006389776357826,0.763768707971413,0.3250722129970842,0.2012779552715655,0.5666139649117415,0.24676586037473128,0.06869009584664537,0.4662081910134493,0.7428115015974441,0.2691980790290267,0.33611736078902266,0.9616613418530351,0.9730447684594333,0.9975784571622698,0.9888178913738019,1.6063342782907202,1.6167456520816348,0.9984025559105432,2.2444468189862956,2.251069493829735,626.0,0.0,0.05,0.0,64.21920457321332,1.1131837056252888e-15,626.0,0.0,0.05,0.0,64.21920457321332,1.1131837056252888e-15,625.0,0.0,0.0,0.0,0.0,1.0,64.21920457321332,1.1349504746479995e-14,626.0,0.0,0.01,0.0,12.583020488583816,0.00038926710832994516,626.0,0.0,0.01,0.0,12.583020488583816,0.00038926710832994516,625.0,0.0,0.0,0.0,0.0,1.0,12.583020488583816,0.0018519609203718004
40,point_estimate,0,73,626.0,0.08285502643963698,0.1102350268750421,0.5,-0.24859545368523622,0.08060130438656746,0.5635862387416645,0.038609746985356894,,1.2148403560481467,,1.7896583162742956,0.8354632587859425,0.9057507987220448,6.276045821062583,0.07914700785623721,0.2520609025606775,0.365814696485623,0.3934509726793246,0.46006389776357826,0.7626583731173745,0.328583550933513,0.2012779552715655,0.5669439639899841,0.24954613254782823,0.06869009584664537,0.4652292855339416,0.7460063897763578,0.26654699946413396,0.33657279103327925,0.963258785942492,0.9704073079824571,0.9957671074542086,0.987220447284345,1.5991624282649741,1.6107389142116773,0.9968051118210862,2.2301068258771974,2.232724310633708,626.0,0.0,0.05,0.0,64.21920457321332,1.1131837056252888e-15,626.0,0.0,0.05,0.0,64.21920457321332,1.1131837056252888e-15,625.0,0.0,0.0,0.0,0.0,1.0,64.21920457321332,1.1349504746479995e-14,626.0,0.0,0.01,0.0,12.583020488583816,0.00038926710832994516,626.0,0.0,0.01,0.0,12.583020488583816,0.00038926710832994516,625.0,0.0,0.0,0.0,0.0,1.0,12.583020488583816,0.0018519609203718004
40,point_estimate,1,11,627.0,0.07142151688520945,0.09651233856406405,0.532695374800638,-0.7191496962541905,0.055558991293899435,0.44273384328795934,0.061452283858956624,0.07602067037417748,0.8392856255188401,,1.4855185536076074,0.9457735247208932,0.9856459330143541,4.882927285854055,0.049123483523456385,0.2512828085750949,0.4481658692185008,0.23539064030309642,0.7304625199362041,0.6047141475104734,0.24527412564088927,0.3572567783094099,0.3706715695103286,0.14502485125994063,0.1467304625199362,0.2735916243210215,0.5725677830940988,0.12056417082516971,0.2298230174557644,0.9122807017543859,0.45654609802780755,0.488643798527635,0.9920255183413078,0.9026523419192368,0.9052095971162228,1.0,1.468319928016265,1.468319928016265,627.0,4.0,0.05,0.006379585326953748,39.465658339763195,3.3387972137416324e-10,627.0,4.0,0.05,0.006379585326953748,39.465658339763195,3.3387972137416324e-10,621.0,1.0,1.0,3.0,29.035881597715914,7.105002063182269e-08,68.50153993747911,1.3337658751036093e-15,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,626.0,0.0,0.0,0.0,0.0,1.0,12.603121160290819,0.0018334413111680836
40,point_estimate,1,42,627.0,0.07089272669953588,0.09552057390017568,0.529505582137161,-0.7186720347792337,0.055425672216052005,0.4410956779725644,0.060966316055656,0.0813198228567858,0.8400460028930911,,1.4756337527343133,0.9441786283891547,0.9744816586921851,4.878497153865099,0.04927597441837096,0.24965959007618724,0.4481658692185008,0.2367938472984489,0.7304625199362041,0.6018907385460465,0.24521146005347091,0.3572567783094099,0.36976464410510296,0.14628218358371767,0.1467304625199362,0.2737839688352362,0.5582137161084529,0.12045925747319422,0.22914405293675016,0.9186602870813397,0.45651502684289486,0.48925356903370876,0.9904306220095693,0.9152278154750388,0.9186208714164713,0.9968102073365231,1.473900264892209,1.4750163095788837,627.0,6.0,0.05,0.009569377990430622,31.922414350420397,1.604549118047645e-08,627.0,6.0,0.05,0.009569377990430622,31.922414350420397,1.604549118047645e-08,616.0,4.0,4.0,2.0,11.753689392244077,0.0006072275363505858,43.67610374266447,3.279854490003626e-10,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,626.0,0.0,0.0,0.0,0.0,1.0,12.603121160290819,0.0018334413111680836
40,point_estimate,1,73,627.0,0.07045934102759373,0.09582799036248167,0.5374800637958532,-0.7151746573087959,0.05586505206166146,0.44119195157042795,0.062447874022316205,0.07759743719087304,0.830261454029907,,1.4597031800461275,0.9393939393939394,0.9728867623604466,4.877722870565485,0.04952321872953346,0.25002946386089026,0.4481658692185008,0.23769794140778866,0.7304625199362041,0.6018432929493159,0.24608676838197338,0.3572567783094099,0.37045216940963216,0.14784377559491568,0.1467304625199362,0.27466743012813,0.5869218500797448,0.12009699972602704,0.22978698735449976,0.9059011164274322,0.4595348978792507,0.5000733946138619,0.9856459330143541,0.9081035495184342,0.9121768722562748,0.9968102073365231,1.4726194332034523,1.4735822799216962,627.0,7.0,0.05,0.011164274322169059,28.691869771940617,8.485924860376134e-08,627.0,7.0,0.05,0.011164274322169059,28.691869771940617,8.485924860376134e-08,616.0,3.0,3.0,4.0,29.30648670298745,6.178850713710154e-08,57.998356474928066,2.5457567956059244e-13,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,626.0,0.0,0.0,0.0,0.0,1.0,12.603121160290819,0.0018334413111680836
40,point_estimate,2,11,627.0,0.05804250331334717,0.07360959018786434,0.6411483253588517,-0.8196964332874649,0.045033319802854285,0.5618483170790735,0.06248964894697359,0.1755879421759604,0.7751567174070951,,1.3665315045033302,0.9712918660287081,0.9792663476874003,6.044204902798125,0.04191699564996474,0.22111820093969511,0.3397129186602871,0.2542540923221384,0.518341307814992,0.5579979541552318,0.16226228719353686,0.16267942583732056,0.33105908405480355,0.1072236058173532,0.10047846889952153,0.24318178892126208,0.5629984051036683,0.10328197643446975,0.1835882452733399,0.8803827751196173,0.39488907425227865,0.42934309130173637,0.9968102073365231,0.8146798735174416,0.8152011803589856,1.0,1.3318651612774723,1.3318651612774723,627.0,1.0,0.05,0.001594896331738437,55.33037178396204,1.0188215522182786e-13,627.0,1.0,0.05,0.001594896331738437,55.33037178396204,1.0188215522182786e-13,624.0,1.0,1.0,0.0,0.0032000013652346837,0.9548888842421291,55.33357178532728,9.64867226011276e-13,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,626.0,0.0,0.0,0.0,0.0,1.0,12.603121160290819,0.0018334413111680836
40,point_estimate,2,42,627.0,0.05818051812102325,0.07211495529841212,0.6283891547049442,-0.8133383783495488,0.044895690532788496,0.557144821040232,0.06222199750251227,,0.7644301799810806,,1.3507465770467246,0.9728867623604466,0.9808612440191388,6.040528287321521,0.041768350483021875,0.22216865947449693,0.3397129186602871,0.25360227597994306,0.518341307814992,0.5582007809032665,0.1603889720571456,0.16267942583732056,0.33111483566241556,0.10662495257324511,0.10047846889952153,0.24398109834503937,0.5677830940988836,0.1035713644913463,0.18296449773693693,0.9011164274322169,0.3936182789249004,0.42085184806067016,0.9936204146730463,0.8127779009032305,0.814893681229144,1.0,1.3475428343742015,1.3475428343742015,627.0,0.0,0.05,0.0,64.32179116198843,1.0567052697714357e-15,627.0,0.0,0.05,0.0,64.32179116198843,1.0567052697714357e-15,626.0,0.0,0.0,0.0,0.0,1.0,64.32179116198843,1.0782029509155964e-14,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,626.0,0.0,0.0,0.0,0.0,1.0,12.603121160290819,0.0018334413111680836
40,point_estimate,2,73,627.0,0.059490218672434224,0.07413657611300709,0.5996810207336523,-0.8135155634427786,0.0451743888138361,0.5599326302490343,0.06294980395999249,,0.7698911435717828,,1.3648369839937777,0.9776714513556619,0.9808612440191388,6.050519847520385,0.04199977225575083,0.22274072276522713,0.3397129186602871,0.2520090829187853,0.518341307814992,0.5579794938525268,0.16188735534168733,0.16267942583732056,0.331228429162525,0.10682024153148847,0.10047846889952153,0.24284317708192904,0.5677830940988836,0.10367081010435995,0.1845370119322299,0.8708133971291866,0.39383692668782455,0.4281339299413962,0.9856459330143541,0.8076013341605212,0.8113555608490157,1.0,1.3440361066510318,1.3440361066510318,627.0,0.0,0.05,0.0,64.32179116198843,1.0567052697714357e-15,627.0,0.0,0.05,0.0,64.32179116198843,1.0567052697714357e-15,626.0,0.0,0.0,0.0,0.0,1.0,64.32179116198843,1.0782029509155964e-14,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,627.0,0.0,0.01,0.0,12.603121160290819,0.0003851031499353354,626.0,0.0,0.0,0.0,0.0,1.0,12.603121160290819,0.0018334413111680836
40,posterior_mean_mc,0,11,626.0,0.07343836048397243,0.10299267634495428,0.560702875399361,-0.6959863067047932,0.05456141913192925,0.5384706716542664,0.07610651033606393,0.21370164632592295,0.15377924253424677,0.26710826831279005,0.21622227408007136,0.8466453674121406,0.9121405750798722,6.48312925732726,0.039388283480532145,0.257683172272691,0.365814696485623,0.28329984317095414,0.46006389776357826,0.42528102237943216,0.1721720248307061,0.2012779552715655,0.13482169024025373,0.06969859113405678,0.06869009584664537,0.04125973782700855,0.49201277955271566,0.11279663298838857,0.2415673103623864,0.8674121405750799,0.25296885123808344,0.3814320004513237,0.9073482428115016,0.3423214667162867,0.5133071574401152,0.9472843450479234,0.41662554713379457,0.6573396107342546,626.0,44.0,0.05,0.07028753993610223,4.843459066737296,0.027751176372809373,626.0,44.0,0.05,0.07028753993610223,4.843459066737296,0.027751176372809373,576.0,5.0,5.0,39.0,229.67401944550735,7.021561790465528e-52,234.51747851224465,1.1889855761683946e-51,626.0,24.0,0.01,0.038338658146964855,29.538656686242604,5.481250191427733e-08,626.0,24.0,0.01,0.038338658146964855,29.538656686242604,5.481250191427733e-08,596.0,5.0,5.0,19.0,121.1184864333637,3.599773293232071e-28,150.6571431196063,1.9284884489641225e-33
