horizon,scenario_mode,seed,pit_bin,count
40,variational_posterior,73,"(0.4, 0.5]",163
40,variational_posterior,73,"(0.5, 0.6]",148
40,variational_posterior,73,"(0.6, 0.7]",156
40,variational_posterior,73,"(0.7, 0.8]",200
40,variational_posterior,73,"(0.8, 0.9]",218
40,variational_posterior,73,"(0.9, 1.0]",229
60,point_estimate,11,"(-0.001, 0.1]",14
60,point_estimate,11,"(0.1, 0.2]",152
60,point_estimate,11,"(0.2, 0.3]",213
60,point_estimate,11,"(0.3, 0.4]",240
60,point_estimate,11,"(0.4, 0.5]",278
60,point_estimate,11,"(0.5, 0.6]",281
60,point_estimate,11,"(0.6, 0.7]",202
60,point_estimate,11,"(0.7, 0.8]",304
60,point_estimate,11,"(0.8, 0.9]",147
60,point_estimate,11,"(0.9, 1.0]",43
60,point_estimate,42,"(-0.001, 0.1]",16
60,point_estimate,42,"(0.1, 0.2]",146
60,point_estimate,42,"(0.2, 0.3]",228
60,point_estimate,42,"(0.3, 0.4]",233
60,point_estimate,42,"(0.4, 0.5]",272
60,point_estimate,42,"(0.5, 0.6]",280
60,point_estimate,42,"(0.6, 0.7]",227
60,point_estimate,42,"(0.7, 0.8]",281
60,point_estimate,42,"(0.8, 0.9]",145
60,point_estimate,42,"(0.9, 1.0]",46
60,point_estimate,73,"(-0.001, 0.1]",20
60,point_estimate,73,"(0.1, 0.2]",148
60,point_estimate,73,"(0.2, 0.3]",220
60,point_estimate,73,"(0.3, 0.4]",222
60,point_estimate,73,"(0.4, 0.5]",292
60,point_estimate,73,"(0.5, 0.6]",263
60,point_estimate,73,"(0.6, 0.7]",233
60,point_estimate,73,"(0.7, 0.8]",286
60,point_estimate,73,"(0.8, 0.9]",143
60,point_estimate,73,"(0.9, 1.0]",47
60,posterior_mean_mc,11,"(-0.001, 0.1]",290
60,posterior_mean_mc,11,"(0.1, 0.2]",151
60,posterior_mean_mc,11,"(0.2, 0.3]",172
60,posterior_mean_mc,11,"(0.3, 0.4]",138
60,posterior_mean_mc,11,"(0.4, 0.5]",141
60,posterior_mean_mc,11,"(0.5, 0.6]",166
60,posterior_mean_mc,11,"(0.6, 0.7]",155
60,posterior_mean_mc,11,"(0.7, 0.8]",192
60,posterior_mean_mc,11,"(0.8, 0.9]",205
60,posterior_mean_mc,11,"(0.9, 1.0]",264
60,posterior_mean_mc,42,"(-0.001, 0.1]",289
60,posterior_mean_mc,42,"(0.1, 0.2]",150
60,posterior_mean_mc,42,"(0.2, 0.3]",162
60,posterior_mean_mc,42,"(0.3, 0.4]",157
60,posterior_mean_mc,42,"(0.4, 0.5]",132
60,posterior_mean_mc,42,"(0.5, 0.6]",158
60,posterior_mean_mc,42,"(0.6, 0.7]",162
