horizon,benchmark,metric,mean_diff_vb_minus_benchmark,ci_low,ci_high,ci_excludes_zero,lower_is_better
40,point_estimate,interval_score_90,-0.6565407451314745,-0.8173630496811956,-0.48197217888923966,True,True
40,point_estimate,interval_score_95,-1.0873659332908794,-1.318733238990567,-0.8247386626342545,True,True
40,point_estimate,coverage_50_error,-0.056205673758865204,-0.17157358156028363,0.07124556737588658,False,True
40,point_estimate,coverage_80_error,-0.0356382978723403,-0.12032358156028353,0.06071808510638296,False,True
40,point_estimate,coverage_90_error,0.0031914893617022155,-0.05629875886524831,0.07437943262411352,False,True
40,point_estimate,coverage_95_error,0.030673758865248146,-0.017664007092198633,0.0871586879432624,False,True
40,point_estimate,var95_rate_error,0.02606382978723403,-0.024224290780141856,0.08344414893617019,False,True
40,point_estimate,var99_rate_error,0.03726950354609928,0.006400709219858152,0.08002659574468084,True,True
40,point_estimate,drawdown90_coverage_error,0.10354609929078018,0.027074468085106412,0.17038563829787232,True,True
40,point_estimate,drawdown95_coverage_error,0.09485815602836867,0.025842198581560297,0.14796542553191483,True,True
40,posterior_mean_mc,crps,-0.00010332231346620648,-0.00019807723616293218,1.0776734058771482e-05,False,True
40,posterior_mean_mc,wis,-0.0001383519471674874,-0.0002551321751058345,1.2935836640214837e-06,False,True
40,posterior_mean_mc,nlpd,-0.07802212089524396,-0.1497526979589643,-0.016224355615260744,True,True
40,posterior_mean_mc,brier_negative,-0.0011678196692275283,-0.0026030194603669137,0.00036083753552061974,False,True
40,posterior_mean_mc,brier_drawdown_5,-0.002701960835238582,-0.0037448454741393906,-0.001238497842010597,True,True
40,posterior_mean_mc,brier_drawdown_10,-0.0013886581107405338,-0.0024207617443455383,-0.0005361154132679833,True,True
40,posterior_mean_mc,brier_drawdown_15,1.205036362535309e-07,-0.00027311533626436297,0.00024543184150720875,False,True
40,posterior_mean_mc,interval_score_50,-0.0005537826767039278,-0.001130608519752318,0.00010202586037834024,False,True
40,posterior_mean_mc,interval_score_80,-0.0013044093797079414,-0.0031109693474741067,0.0008042324184814752,False,True
40,posterior_mean_mc,interval_score_90,-0.0019007468799080605,-0.00563547104436284,0.002382524576891887,False,True
40,posterior_mean_mc,interval_score_95,-0.00753100354043783,-0.01696798705961947,0.0015330885147359326,False,True
40,posterior_mean_mc,coverage_50_error,-0.011524822695035408,-0.01897163120567372,0.004578900709219819,False,True
40,posterior_mean_mc,coverage_80_error,-0.00886524822695034,-0.014902482269503567,-0.002921099290780117,True,True
40,posterior_mean_mc,coverage_90_error,-0.007092198581560183,-0.012765957446808588,-8.421985815599956e-05,True,True
40,posterior_mean_mc,coverage_95_error,-0.007269503546099343,-0.012327127659574494,-0.0016799645390071657,True,True
40,posterior_mean_mc,var95_rate_error,-0.0003546099290780286,-0.0031914893617021323,0.0039007092198581617,False,True
40,posterior_mean_mc,var99_rate_error,-0.0039007092198581617,-0.00824911347517731,0.0006249999999999916,False,True
40,posterior_mean_mc,drawdown90_coverage_error,-0.007801418439716157,-0.013661347517730387,-0.00292109929078017,True,True
40,posterior_mean_mc,drawdown95_coverage_error,-0.0007092198581560849,-0.0055053191489363015,0.004348404255319004,False,True
60,point_estimate,crps,-0.024655448383513506,-0.031422674508304306,-0.018243397991181503,True,True
60,point_estimate,wis,-0.0405853430102114,-0.04881225881973789,-0.032363178018250706,True,True
60,point_estimate,nlpd,-0.21574799788519053,-0.7452166004517732,0.45286269964106385,False,True
60,point_estimate,brier_negative,2.2732831507493527e-05,-0.008023072642057911,0.008706053916294997,False,True
60,point_estimate,brier_drawdown_5,0.07030817098240588,0.009278092613928195,0.12627942647084303,True,True
60,point_estimate,brier_drawdown_10,-0.004731740338874916,-0.08920234595182774,0.07298313214647534,False,True
