horizon,scenario_mode,seed,pit_bin,count
40,posterior_mean_mc,11,"(0.2, 0.3]",147
40,posterior_mean_mc,11,"(0.3, 0.4]",213
40,posterior_mean_mc,11,"(0.4, 0.5]",207
40,posterior_mean_mc,11,"(0.5, 0.6]",186
40,posterior_mean_mc,11,"(0.6, 0.7]",199
40,posterior_mean_mc,11,"(0.7, 0.8]",212
40,posterior_mean_mc,11,"(0.8, 0.9]",267
40,posterior_mean_mc,11,"(0.9, 1.0]",94
40,posterior_mean_mc,42,"(-0.001, 0.1]",215
40,posterior_mean_mc,42,"(0.1, 0.2]",129
40,posterior_mean_mc,42,"(0.2, 0.3]",157
40,posterior_mean_mc,42,"(0.3, 0.4]",199
40,posterior_mean_mc,42,"(0.4, 0.5]",218
40,posterior_mean_mc,42,"(0.5, 0.6]",190
40,posterior_mean_mc,42,"(0.6, 0.7]",197
40,posterior_mean_mc,42,"(0.7, 0.8]",212
40,posterior_mean_mc,42,"(0.8, 0.9]",265
40,posterior_mean_mc,42,"(0.9, 1.0]",96
40,posterior_mean_mc,73,"(-0.001, 0.1]",208
40,posterior_mean_mc,73,"(0.1, 0.2]",126
40,posterior_mean_mc,73,"(0.2, 0.3]",176
40,posterior_mean_mc,73,"(0.3, 0.4]",185
40,posterior_mean_mc,73,"(0.4, 0.5]",225
40,posterior_mean_mc,73,"(0.5, 0.6]",189
40,posterior_mean_mc,73,"(0.6, 0.7]",194
40,posterior_mean_mc,73,"(0.7, 0.8]",221
40,posterior_mean_mc,73,"(0.8, 0.9]",267
40,posterior_mean_mc,73,"(0.9, 1.0]",87
40,variational_posterior,11,"(-0.001, 0.1]",137
40,variational_posterior,11,"(0.1, 0.2]",122
40,variational_posterior,11,"(0.2, 0.3]",160
40,variational_posterior,11,"(0.3, 0.4]",231
40,variational_posterior,11,"(0.4, 0.5]",303
40,variational_posterior,11,"(0.5, 0.6]",242
40,variational_posterior,11,"(0.6, 0.7]",205
40,variational_posterior,11,"(0.7, 0.8]",242
40,variational_posterior,11,"(0.8, 0.9]",178
40,variational_posterior,11,"(0.9, 1.0]",58
40,variational_posterior,42,"(-0.001, 0.1]",143
40,variational_posterior,42,"(0.1, 0.2]",111
40,variational_posterior,42,"(0.2, 0.3]",159
40,variational_posterior,42,"(0.3, 0.4]",233
40,variational_posterior,42,"(0.4, 0.5]",296
40,variational_posterior,42,"(0.5, 0.6]",253
40,variational_posterior,42,"(0.6, 0.7]",213
40,variational_posterior,42,"(0.7, 0.8]",238
40,variational_posterior,42,"(0.8, 0.9]",176
40,variational_posterior,42,"(0.9, 1.0]",56
40,variational_posterior,73,"(-0.001, 0.1]",138
40,variational_posterior,73,"(0.1, 0.2]",123
40,variational_posterior,73,"(0.2, 0.3]",148
40,variational_posterior,73,"(0.3, 0.4]",255
40,variational_posterior,73,"(0.4, 0.5]",288
40,variational_posterior,73,"(0.5, 0.6]",252
40,variational_posterior,73,"(0.6, 0.7]",188
40,variational_posterior,73,"(0.7, 0.8]",248
40,variational_posterior,73,"(0.8, 0.9]",177
40,variational_posterior,73,"(0.9, 1.0]",61
60,point_estimate,11,"(-0.001, 0.1]",14
60,point_estimate,11,"(0.1, 0.2]",152
60,point_estimate,11,"(0.2, 0.3]",169
60,point_estimate,11,"(0.3, 0.4]",249
60,point_estimate,11,"(0.4, 0.5]",323
60,point_estimate,11,"(0.5, 0.6]",307
60,point_estimate,11,"(0.6, 0.7]",264
60,point_estimate,11,"(0.7, 0.8]",268
60,point_estimate,11,"(0.8, 0.9]",105
60,point_estimate,11,"(0.9, 1.0]",21
60,point_estimate,42,"(-0.001, 0.1]",14
60,point_estimate,42,"(0.1, 0.2]",138
60,point_estimate,42,"(0.2, 0.3]",178
60,point_estimate,42,"(0.3, 0.4]",238
60,point_estimate,42,"(0.4, 0.5]",327
60,point_estimate,42,"(0.5, 0.6]",312
60,point_estimate,42,"(0.6, 0.7]",284
60,point_estimate,42,"(0.7, 0.8]",271
60,point_estimate,42,"(0.8, 0.9]",90
60,point_estimate,42,"(0.9, 1.0]",20
60,point_estimate,73,"(-0.001, 0.1]",15
60,point_estimate,73,"(0.1, 0.2]",141
60,point_estimate,73,"(0.2, 0.3]",187
60,point_estimate,73,"(0.3, 0.4]",229
60,point_estimate,73,"(0.4, 0.5]",327
60,point_estimate,73,"(0.5, 0.6]",307
60,point_estimate,73,"(0.6, 0.7]",282
60,point_estimate,73,"(0.7, 0.8]",262
60,point_estimate,73,"(0.8, 0.9]",100
60,point_estimate,73,"(0.9, 1.0]",22
60,posterior_mean_mc,11,"(-0.001, 0.1]",244
60,posterior_mean_mc,11,"(0.1, 0.2]",147
60,posterior_mean_mc,11,"(0.2, 0.3]",195
60,posterior_mean_mc,11,"(0.3, 0.4]",203
60,posterior_mean_mc,11,"(0.4, 0.5]",216
60,posterior_mean_mc,11,"(0.5, 0.6]",186
60,posterior_mean_mc,11,"(0.6, 0.7]",208
60,posterior_mean_mc,11,"(0.7, 0.8]",192
60,posterior_mean_mc,11,"(0.8, 0.9]",221
60,posterior_mean_mc,11,"(0.9, 1.0]",60
60,posterior_mean_mc,42,"(-0.001, 0.1]",249
60,posterior_mean_mc,42,"(0.1, 0.2]",159
60,posterior_mean_mc,42,"(0.2, 0.3]",174
60,posterior_mean_mc,42,"(0.3, 0.4]",208
60,posterior_mean_mc,42,"(0.4, 0.5]",202
60,posterior_mean_mc,42,"(0.5, 0.6]",202
60,posterior_mean_mc,42,"(0.6, 0.7]",184
60,posterior_mean_mc,42,"(0.7, 0.8]",212
60,posterior_mean_mc,42,"(0.8, 0.9]",219
60,posterior_mean_mc,42,"(0.9, 1.0]",63
60,posterior_mean_mc,73,"(-0.001, 0.1]",248
60,posterior_mean_mc,73,"(0.1, 0.2]",147
60,posterior_mean_mc,73,"(0.2, 0.3]",204
60,posterior_mean_mc,73,"(0.3, 0.4]",193
60,posterior_mean_mc,73,"(0.4, 0.5]",193
60,posterior_mean_mc,73,"(0.5, 0.6]",214
60,posterior_mean_mc,73,"(0.6, 0.7]",189
60,posterior_mean_mc,73,"(0.7, 0.8]",212
60,posterior_mean_mc,73,"(0.8, 0.9]",208
60,posterior_mean_mc,73,"(0.9, 1.0]",64
60,variational_posterior,11,"(-0.001, 0.1]",162
60,variational_posterior,11,"(0.1, 0.2]",96
60,variational_posterior,11,"(0.2, 0.3]",179
60,variational_posterior,11,"(0.3, 0.4]",292
60,variational_posterior,11,"(0.4, 0.5]",321
60,variational_posterior,11,"(0.5, 0.6]",260
60,variational_posterior,11,"(0.6, 0.7]",219
60,variational_posterior,11,"(0.7, 0.8]",195
60,variational_posterior,11,"(0.8, 0.9]",134
60,variational_posterior,11,"(0.9, 1.0]",14
60,variational_posterior,42,"(-0.001, 0.1]",159
60,variational_posterior,42,"(0.1, 0.2]",99
60,variational_posterior,42,"(0.2, 0.3]",179
60,variational_posterior,42,"(0.3, 0.4]",291
60,variational_posterior,42,"(0.4, 0.5]",300
60,variational_posterior,42,"(0.5, 0.6]",277
60,variational_posterior,42,"(0.6, 0.7]",226
60,variational_posterior,42,"(0.7, 0.8]",203
60,variational_posterior,42,"(0.8, 0.9]",126
60,variational_posterior,42,"(0.9, 1.0]",12
60,variational_posterior,73,"(-0.001, 0.1]",155
60,variational_posterior,73,"(0.1, 0.2]",108
60,variational_posterior,73,"(0.2, 0.3]",169
60,variational_posterior,73,"(0.3, 0.4]",307
60,variational_posterior,73,"(0.4, 0.5]",326
60,variational_posterior,73,"(0.5, 0.6]",253
60,variational_posterior,73,"(0.6, 0.7]",215
60,variational_posterior,73,"(0.7, 0.8]",197
60,variational_posterior,73,"(0.8, 0.9]",129
60,variational_posterior,73,"(0.9, 1.0]",13
