horizon,benchmark,metric,mean_diff_vb_minus_benchmark,ci_low,ci_high,ci_excludes_zero,lower_is_better
20,posterior_mean_mc,var99_rate_error,-0.023885350318471325,-0.03813251946213729,-0.009191436659589531,True,True
20,posterior_mean_mc,drawdown90_coverage_error,-0.07855626326963905,-0.10077406227883937,-0.02185951875442328,True,True
20,posterior_mean_mc,drawdown95_coverage_error,-0.04936305732484081,-0.06520258315640479,-0.018971160651096868,True,True
40,point_estimate,crps,-0.018614326677474178,-0.02256639656357554,-0.014478489543782957,True,True
40,point_estimate,nlpd,-0.5123028361761107,-0.6284710594783214,-0.38337967608463647,True,True
40,point_estimate,interval_score_50,-0.060495124157719946,-0.07854421058441509,-0.04056764513697511,True,True
40,point_estimate,interval_score_80,-0.45299229872056146,-0.5461963297351519,-0.3607963325822632,True,True
40,point_estimate,interval_score_90,-0.9302625925987282,-1.0735803951162541,-0.7894907188557471,True,True
40,point_estimate,interval_score_95,-1.425298323026295,-1.6169813257465353,-1.2426899959633084,True,True
40,point_estimate,coverage_50_error,-0.06798012069577575,-0.11675985090521825,-0.02847444089456873,True,True
40,point_estimate,coverage_80_error,-0.07348242811501582,-0.1280839545615904,-0.027484913028044098,True,True
40,point_estimate,coverage_90_error,-0.04632587859424919,-0.08306620518281868,-0.015441959531416413,True,True
40,point_estimate,coverage_95_error,-0.024494142705005273,-0.04565317713880013,-0.003186013489527919,True,True
40,point_estimate,var95_rate_error,-0.04668086616968406,-0.04884806531771388,-0.011126198083067106,True,True
40,point_estimate,var99_rate_error,-0.008519701810436636,-0.009762158324458644,0.0014767483138090152,False,True
40,point_estimate,drawdown90_coverage_error,-0.02360667376641823,-0.053753993610223594,0.03831558395456148,False,True
40,point_estimate,drawdown95_coverage_error,-0.0002484913028043545,-0.02593184238551649,0.03601348952786642,False,True
40,posterior_mean_mc,crps,0.000914746878683591,0.00011409100777817871,0.001794872460484403,True,True
40,posterior_mean_mc,nlpd,0.02204150535866176,-0.07089673972112007,0.09672385511344575,False,True
40,posterior_mean_mc,interval_score_50,0.004178392384299635,-0.0006043927609964896,0.008960001575454846,False,True
40,posterior_mean_mc,interval_score_80,0.015370463315831384,-0.00013533995096385852,0.03114424188785124,False,True
40,posterior_mean_mc,interval_score_90,0.017173032974047594,-0.011262212845530478,0.0471030769628296,False,True
40,posterior_mean_mc,interval_score_95,0.021018042560194246,-0.030356489119228038,0.0705618748251292,False,True
40,posterior_mean_mc,coverage_50_error,0.11235356762513315,0.014474618388356477,0.13401668441604542,True,True
40,posterior_mean_mc,coverage_80_error,0.05413560525381622,0.025630102946396737,0.07197816826411088,True,True
40,posterior_mean_mc,coverage_90_error,0.03549875754348597,-0.020052360667376652,0.046951544195953175,False,True
40,posterior_mean_mc,coverage_95_error,0.019240326588569445,-0.030985977990770314,0.027511537096201688,False,True
40,posterior_mean_mc,var95_rate_error,-0.016435924742634,-0.034433794817181396,0.020598154064607722,False,True
40,posterior_mean_mc,var99_rate_error,-0.015676251331203407,-0.034030351437699675,0.006212282570110047,False,True
40,posterior_mean_mc,drawdown90_coverage_error,-0.042279020234291975,-0.07681398651047215,0.04427582534611281,False,True
40,posterior_mean_mc,drawdown95_coverage_error,-0.03656372026979049,-0.05247160099396516,0.019037983670571572,False,True
60,point_estimate,crps,-0.03044842757187079,-0.0374701938315955,-0.022798138160418372,True,True
60,point_estimate,nlpd,-0.5732890205851225,-0.6901461387745904,-0.44606504511352685,True,True
60,point_estimate,interval_score_50,-0.10742106671843892,-0.14570648883330858,-0.06714223067031791,True,True
60,point_estimate,interval_score_80,-0.7393953730475031,-0.867079389746585,-0.5949506473922072,True,True
60,point_estimate,interval_score_90,-1.3947365652784967,-1.573610840927544,-1.1890729962800364,True,True
60,point_estimate,interval_score_95,-2.0542746595335477,-2.2741839605511376,-1.8102661687407593,True,True
60,point_estimate,coverage_50_error,-0.04825498575498566,-0.1063034188034187,0.003739316239316337,False,True
60,point_estimate,coverage_80_error,-0.073005698005698,-0.12217770655270659,-0.027497329059829087,True,True
60,point_estimate,coverage_90_error,-0.04896723646723644,-0.08583511396011397,-0.015820868945869114,True,True
60,point_estimate,coverage_95_error,-0.028311965811965822,-0.04839921652421657,-0.007300569800569701,True,True
60,point_estimate,var95_rate_error,-0.047649572649572654,-0.04896723646723647,-0.008410790598290616,True,True
60,point_estimate,var99_rate_error,-0.009494301994301997,-0.009672364672364674,0.003165954415954398,False,True
60,point_estimate,drawdown90_coverage_error,-0.014779202279202264,-0.04758814102564104,0.041737891737891636,False,True
60,point_estimate,drawdown95_coverage_error,0.0064102564102563875,-0.026599893162393095,0.027265847578347827,False,True
60,posterior_mean_mc,crps,0.0021550137619981416,0.0006062442561363263,0.0038035442311781195,True,True
60,posterior_mean_mc,nlpd,-0.008003881849676481,-0.1836121900610631,0.1323183932931474,False,True
60,posterior_mean_mc,interval_score_50,0.012721498483719803,0.004282224217388542,0.022009791593350862,True,True
60,posterior_mean_mc,interval_score_80,0.023791748236547658,-0.009411944607947953,0.05296301252460064,False,True
60,posterior_mean_mc,interval_score_90,0.006625903494526576,-0.06397441089717645,0.06690277428268795,False,True
60,posterior_mean_mc,interval_score_95,-0.02321943262002413,-0.16144283931701794,0.09341782168714885,False,True
60,posterior_mean_mc,coverage_50_error,0.16221509971509984,0.08313746438746437,0.1902154558404558,True,True
60,posterior_mean_mc,coverage_80_error,0.07407407407407407,0.0238025284900284,0.09989761396011396,True,True
60,posterior_mean_mc,coverage_90_error,0.04633190883190885,-0.05284900284900301,0.057176816239316225,False,True
60,posterior_mean_mc,coverage_95_error,-0.003810541310541149,-0.06660434472934475,0.03602831196581196,False,True
60,posterior_mean_mc,var95_rate_error,-0.04629629629629629,-0.07644230769230768,0.024581552706552694,False,True
60,posterior_mean_mc,var99_rate_error,-0.0349002849002849,-0.0609909188034188,0.001490384615384607,False,True
60,posterior_mean_mc,drawdown90_coverage_error,-0.057478632478632496,-0.11352831196581195,0.03342681623931621,False,True
60,posterior_mean_mc,drawdown95_coverage_error,-0.050819088319088324,-0.11214654558404547,0.011071047008547179,False,True
